"date";"ticker";"field";"override";"override_period";"value";"extraction_date"
"2000-09-18";IBOV Index;CUR_MKT_CAP;;;178,143.91;"2023-08-21"
"2000-09-19";IBOV Index;CUR_MKT_CAP;;;179,551.13;"2023-08-21"
"2000-09-20";IBOV Index;CUR_MKT_CAP;;;179,900.99;"2023-08-21"
"2000-09-21";IBOV Index;CUR_MKT_CAP;;;178,128.82;"2023-08-21"
"2000-09-22";IBOV Index;CUR_MKT_CAP;;;180,564.82;"2023-08-21"
"2000-09-25";IBOV Index;CUR_MKT_CAP;;;180,737.18;"2023-08-21"
"2000-09-26";IBOV Index;CUR_MKT_CAP;;;181,285.54;"2023-08-21"
"2000-09-27";IBOV Index;CUR_MKT_CAP;;;179,548.13;"2023-08-21"
"2000-09-28";IBOV Index;CUR_MKT_CAP;;;179,750.31;"2023-08-21"
"2000-09-29";IBOV Index;CUR_MKT_CAP;;;179,195.06;"2023-08-21"
"2000-10-02";IBOV Index;CUR_MKT_CAP;;;176,430.16;"2023-08-21"
"2000-10-03";IBOV Index;CUR_MKT_CAP;;;177,600.05;"2023-08-21"
"2000-10-04";IBOV Index;CUR_MKT_CAP;;;179,052.76;"2023-08-21"
"2000-10-05";IBOV Index;CUR_MKT_CAP;;;182,745.37;"2023-08-21"
"2000-10-06";IBOV Index;CUR_MKT_CAP;;;178,836.44;"2023-08-21"
"2000-10-09";IBOV Index;CUR_MKT_CAP;;;178,441;"2023-08-21"
"2000-10-10";IBOV Index;CUR_MKT_CAP;;;178,993.07;"2023-08-21"
"2000-10-11";IBOV Index;CUR_MKT_CAP;;;177,688.54;"2023-08-21"
"2000-10-12";IBOV Index;CUR_MKT_CAP;;;177,688.54;"2023-08-21"
"2000-10-13";IBOV Index;CUR_MKT_CAP;;;177,722.95;"2023-08-21"
"2000-10-16";IBOV Index;CUR_MKT_CAP;;;175,663.59;"2023-08-21"
"2000-10-17";IBOV Index;CUR_MKT_CAP;;;171,166.92;"2023-08-21"
"2000-10-18";IBOV Index;CUR_MKT_CAP;;;167,828.96;"2023-08-21"
"2000-10-19";IBOV Index;CUR_MKT_CAP;;;171,894.44;"2023-08-21"
"2000-10-20";IBOV Index;CUR_MKT_CAP;;;168,088.28;"2023-08-21"
"2000-10-23";IBOV Index;CUR_MKT_CAP;;;162,431.88;"2023-08-21"
"2000-10-24";IBOV Index;CUR_MKT_CAP;;;159,548;"2023-08-21"
"2000-10-25";IBOV Index;CUR_MKT_CAP;;;158,758.99;"2023-08-21"
"2000-10-26";IBOV Index;CUR_MKT_CAP;;;165,881.29;"2023-08-21"
"2000-10-27";IBOV Index;CUR_MKT_CAP;;;168,729.32;"2023-08-21"
"2000-10-30";IBOV Index;CUR_MKT_CAP;;;171,764.01;"2023-08-21"
"2000-10-31";IBOV Index;CUR_MKT_CAP;;;170,498.97;"2023-08-21"
"2000-11-01";IBOV Index;CUR_MKT_CAP;;;171,367.36;"2023-08-21"
"2000-11-02";IBOV Index;CUR_MKT_CAP;;;171,367.36;"2023-08-21"
"2000-11-03";IBOV Index;CUR_MKT_CAP;;;168,372.06;"2023-08-21"
"2000-11-06";IBOV Index;CUR_MKT_CAP;;;170,873.61;"2023-08-21"
"2000-11-07";IBOV Index;CUR_MKT_CAP;;;173,318.13;"2023-08-21"
"2000-11-08";IBOV Index;CUR_MKT_CAP;;;170,618.58;"2023-08-21"
"2000-11-09";IBOV Index;CUR_MKT_CAP;;;169,464.28;"2023-08-21"
"2000-11-10";IBOV Index;CUR_MKT_CAP;;;169,497.07;"2023-08-21"
"2000-11-13";IBOV Index;CUR_MKT_CAP;;;168,523.32;"2023-08-21"
"2000-11-14";IBOV Index;CUR_MKT_CAP;;;170,596.83;"2023-08-21"
"2000-11-15";IBOV Index;CUR_MKT_CAP;;;170,596.83;"2023-08-21"
"2000-11-16";IBOV Index;CUR_MKT_CAP;;;170,381.58;"2023-08-21"
"2000-11-17";IBOV Index;CUR_MKT_CAP;;;168,948.58;"2023-08-21"
"2000-11-20";IBOV Index;CUR_MKT_CAP;;;170,008.63;"2023-08-21"
"2000-11-21";IBOV Index;CUR_MKT_CAP;;;173,722.59;"2023-08-21"
"2000-11-22";IBOV Index;CUR_MKT_CAP;;;171,887.07;"2023-08-21"
