"ticker";"gics_sector_name";"description";"adjHolding";"adjMarketValue";"weightClose";"date"
VALE3 BS Equity;Materials;Vale SA;23,823,968.0000000000000000;313,164,868.1600000000000000;12.5368922464578000;"2023-08-31"
ITUB4 BS Equity;Financials;Itau Unibanco Holding SA;28,349,797.0000000000000000;157,067,797.8100000000000000;6.2878766322099900;"2023-08-31"
PETR4 BS Equity;Energy;Petroleo Brasileiro SA;26,961,678.0000000000000000;173,937,603.6600000000000000;6.9632235809362300;"2023-08-31"
PETR3 BS Equity;Energy;Petroleo Brasileiro SA;17,653,651.0000000000000000;123,159,636.9800000000000000;4.9304352273073200;"2023-08-31"
BBDC4 BS Equity;Financials;Banco Bradesco SA;30,380,826.0000000000000000;91,738,549.8100000000000000;3.6725585490217200;"2023-08-31"
B3SA3 BS Equity;Financials;B3 SA - Brasil Bolsa Balcao;33,841,267.0000000000000000;88,380,529.7200000000000000;3.5381273266527400;"2023-08-31"
ELET3 BS Equity;Utilities;Centrais Eletricas Brasileiras;11,919,140.0000000000000000;84,886,565.5900000000000000;3.3982538725575700;"2023-08-31"
BBAS3 BS Equity;Financials;Banco do Brasil SA;8,387,279.0000000000000000;79,790,952.9300000000000000;3.1942618116873600;"2023-08-31"
ABEV3 BS Equity;Consumer Staples;Ambev SA;25,896,491.0000000000000000;72,391,568.8700000000000000;2.8980431419642200;"2023-08-31"
RENT3 BS Equity;Industrials;Localiza Rent a Car SA;4,965,833.0000000000000000;63,440,155.3000000000000000;2.5396922578438600;"2023-08-31"
ITSA4 BS Equity;Financials;Itausa SA;29,629,858.0000000000000000;55,298,500.2800000000000000;2.2137583422891300;"2023-08-31"
WEGE3 BS Equity;Industrials;WEG SA;7,443,276.0000000000000000;53,942,091.0700000000000000;2.1594573722991500;"2023-08-31"
BPAC11 BS Equity;Financials;Banco BTG Pactual SA;7,227,889.0000000000000000;47,402,953.5400000000000000;1.8976768504926800;"2023-08-31"
EQTL3 BS Equity;Utilities;Equatorial Energia SA;6,582,395.0000000000000000;42,092,638.7800000000000000;1.6850896457654900;"2023-08-31"
PRIO3 BS Equity;Energy;PRIO SA/Brazil;4,949,552.0000000000000000;46,406,900.5600000000000000;1.8578019789740700;"2023-08-31"
RDOR3 BS Equity;Health Care;Rede D'Or Sao Luiz SA;6,459,415.0000000000000000;37,392,196.9600000000000000;1.4969174125443100;"2023-08-31"
RADL3 BS Equity;Consumer Staples;Raia Drogasil SA;6,865,014.0000000000000000;38,103,916.9600000000000000;1.5254096153960300;"2023-08-31"
SUZB3 BS Equity;Materials;Suzano SA;4,286,951.0000000000000000;43,424,112.8500000000000000;1.7383923902355800;"2023-08-31"
GGBR4 BS Equity;Materials;Gerdau SA;6,447,350.0000000000000000;33,663,032.7700000000000000;1.3476282221760800;"2023-08-31"
RAIL3 BS Equity;Industrials;Rumo SA;7,169,989.0000000000000000;32,367,409.6400000000000000;1.2957606941603600;"2023-08-31"
CSAN3 BS Equity;Energy;Cosan SA;6,907,048.0000000000000000;24,442,039.8300000000000000;0.9784852989185920;"2023-08-31"
BBDC3 BS Equity;Financials;Banco Bradesco SA;8,850,929.0000000000000000;23,669,419.8600000000000000;0.9475550947476610;"2023-08-31"
UGPA3 BS Equity;Energy;Ultrapar Participacoes SA;6,416,478.0000000000000000;23,535,512.9700000000000000;0.9421944160072520;"2023-08-31"
JBSS3 BS Equity;Consumer Staples;JBS S/A;6,694,258.0000000000000000;24,878,942.0900000000000000;0.9959757555845530;"2023-08-31"
BBSE3 BS Equity;Financials;BB Seguridade Participacoes SA;3,961,784.0000000000000000;24,310,298.9800000000000000;0.9732113330021370;"2023-08-31"
ENEV3 BS Equity;Utilities;Eneva SA;9,306,466.0000000000000000;22,406,433.6700000000000000;0.8969941175032260;"2023-08-31"
